cycle	seed62	seed63	seed64	seed65	seed66
1000	1538	1554	1494	1445	1616
2000	2375	2108	2074	2109	2081
3000	3289	2167	2231	2177	2351
4000	3667	2306	2344	2335	2367
5000	3814	2420	2600	2436	2481
6000	3809	2492	2999	2421	2525
7000	3795	2477	3447	2461	2494
8000	3934	2529	3792	2521	2474
9000	3916	2534	3492	2528	2611
10000	4037	2481	3068	2507	2985
11000	4032	2539	3053	2594	3644
12000	4216	2463	2967	2550	3997
13000	4243	2495	2448	2872	4000
14000	4289	2513	2410	3688	4018
15000	4275	2501	2401	3675	4118
16000	4199	2469	2436	3734	4122
17000	4171	2464	2487	3896	4255
18000	4234	2483	2248	3919	4280
19000	4156	2535	2315	3909	4322
20000	4010	2490	2149	3980	4457
21000	4144	2444	2148	3990	4535
22000	4233	2482	2293	4076	4642
23000	4123	2417	2348	4183	4555
24000	4105	2475	2165	4130	4453
25000	4099	2465	1657	4279	4461
26000	4128	2485	985	4295	4343
27000	4123	2526	579	4346	4237
28000	3976	2855	434	4346	4186
29000	4056	3233	414	4307	4156
30000	4078	3799	462	4333	4207
31000	3964	4267	509	4383	4233
32000	4089	4473	472	4331	4195
33000	4029	4661	465	4279	4200
34000	3973	4810	453	4353	4193
35000	4051	4879	500	4317	4254
36000	3950	4893	480	4368	4192
37000	3937	4869	441	4331	4243
38000	3931	4852	459	4344	4216
39000	3920	4652	429	4370	4222
40000	3954	4345	451	4393	4252
41000	3888	4102	499	4401	4280
42000	3989	3777	503	4342	4231
43000	3860	3516	483	4312	4269
44000	3970	3289	519	4402	4232
45000	3924	3149	475	4336	4358
46000	3952	3119	547	4372	4223
47000	3902	3131	508	4443	4253
48000	3954	3072	628	4352	4303
49000	3936	2975	650	4370	4285
50000	4044	3032	577	4279	4363
51000	4007	2993	653	4309	4279
52000	4060	3068	644	4292	4270
53000	4056	3073	671	4314	4332
54000	3965	3044	726	4217	4296
55000	4036	3021	884	4110	4255
56000	4030	3056	777	4098	4250
57000	4056	3073	830	3990	4252
58000	4036	3086	898	4018	4257
59000	4064	3091	863	3931	4303
60000	4126	3027	867	4019	4320
61000	4104	3039	869	3987	4314
62000	4141	3117	800	4027	4283
63000	4122	3073	849	4010	4217
64000	4054	3084	675	4063	4301
65000	4058	3062	664	4137	4273
66000	4089	3055	578	4104	4377
67000	4155	3101	529	4146	4297
68000	4119	2988	557	4146	4338
69000	4199	2965	560	4135	4283
70000	4074	2985	578	4143	4312
71000	4209	3058	471	4135	4211
72000	4154	3037	385	4219	4277
73000	4215	3092	383	4171	4298
74000	4147	3080	420	4242	4350
75000	4240	3060	374	4201	4245
76000	4249	3103	405	4151	4287
77000	4277	3015	355	4238	4245
78000	4203	3025	342	4224	4293
79000	4359	3060	367	4254	4339
80000	4341	2999	336	4277	4338
81000	4365	3034	349	4299	4301
82000	4379	3092	282	4318	4268
83000	4403	3056	336	4292	4246
84000	4390	3025	381	4299	4347
85000	4435	3007	306	4231	4324
86000	4393	3061	334	4208	4264
87000	4406	3022	382	4092	4379
88000	4405	3007	350	4017	4327
89000	4456	3024	325	4069	4270
90000	4331	3082	330	3971	4364
91000	4360	3088	302	4009	4310
92000	4417	3015	337	4040	4310
93000	4386	3033	393	4008	4353
94000	4349	3026	330	4022	4286
95000	4493	2997	339	3975	4309
96000	4523	3064	282	3962	4225
97000	4409	3041	303	3876	4313
98000	4537	3076	302	3922	4337
99000	4542	3067	279	3996	4248
100000	4493	3088	247	3947	4324
101000	4520	2999	265	3928	4188
102000	4606	3050	268	3983	4336
103000	4585	3084	287	3944	4289
104000	4569	2995	272	3904	4265
105000	4468	3025	265	3904	4337
106000	4519	3027	273	3975	4307
107000	4558	3136	298	3911	4318
108000	4555	3039	306	3912	4356
109000	4552	3048	303	3934	4338
110000	4550	3024	349	4004	4284
111000	4558	3018	259	3952	4288
112000	4492	3141	314	3983	4386
113000	4562	3026	287	3970	4400
114000	4514	2993	317	3953	4347
115000	4509	3047	343	3933	4339
116000	4541	3092	286	3946	4340
117000	4465	3106	320	3908	4350
118000	4482	2981	305	3905	4287
119000	4513	3058	335	3945	4386
120000	4460	3017	351	3994	4340
121000	4456	2969	298	3918	4436
122000	4513	3080	279	3873	4370
123000	4576	3082	297	3864	4378
124000	4487	3086	279	3918	4374
125000	4537	3047	279	3934	4341
126000	4486	3053	273	3944	4345
127000	4573	3030	270	4029	4368
128000	4477	3005	251	3964	4368
129000	4449	3084	257	3990	4366
130000	4482	3040	260	3831	4352
131000	4475	3124	246	3775	4331
132000	4518	3121	294	3743	4308
133000	4548	3024	274	3847	4318
134000	4470	3147	230	3847	4380
135000	4561	3113	223	3750	4380
136000	4511	3129	206	3743	4360
137000	4515	3096	200	3761	4320
138000	4580	3084	226	3731	4397
139000	4553	3085	162	3793	4249
140000	4541	3052	156	3725	4344
141000	4600	3041	189	3691	4271
142000	4534	2979	166	3645	4337
143000	4556	3052	164	3697	4267
144000	4568	3101	136	3667	4384
145000	4533	3083	120	3637	4301
146000	4548	3111	144	3590	4215
147000	4539	3176	123	3690	4290
148000	4492	3127	160	3666	4282
149000	4589	3047	119	3736	4292
150000	4586	3095	118	3583	4204
151000	4520	3147	109	3683	4262
152000	4495	3121	106	3683	4210
153000	4269	3100	112	3645	4263
154000	4064	3027	156	3625	4338
155000	4200	3156	108	3712	4245
156000	4144	3133	108	3613	4151
157000	4058	3138	111	3608	4185
158000	4138	3054	126	3638	4153
159000	4124	3148	88	3552	4177
160000	4098	3117	98	3658	4122
161000	4080	3066	96	3655	4150
162000	4122	3064	86	3632	4217
163000	4121	3107	79	3626	4178
164000	4060	3206	65	3678	4215
165000	4139	3091	74	3659	4196
166000	4108	3108	73	3662	4219
167000	4172	3098	86	3547	4221
168000	4055	3108	85	3649	4150
169000	4224	3149	61	3628	4195
170000	4067	3177	73	3644	4219
171000	4165	3118	64	3570	4243
172000	4035	3170	78	3484	4245
173000	4101	3168	77	3538	4251
174000	4108	3171	78	3666	4250
175000	4070	3108	69	3601	4254
176000	4073	3156	75	3660	4237
177000	4113	3128	68	3577	4246
178000	4056	3130	81	3444	4276
179000	4157	3054	85	3589	4205
180000	4111	3156	61	3669	4141
181000	4165	3178	76	3657	4130
182000	4081	3114	73	3607	4291
183000	4121	3211	99	3623	4203
184000	4093	3232	69	3455	4227
185000	4022	3068	79	3610	4202
186000	4052	3129	74	3749	4274
187000	4002	3129	74	3607	4280
188000	3991	3168	63	3666	4174
189000	3946	3152	76	3527	4244
190000	3989	3108	86	3622	4213
191000	4027	3151	60	3641	4169
192000	4013	3096	68	3648	4261
193000	3999	3195	76	3658	4238
194000	4009	3157	80	3602	4186
195000	3988	3197	82	3743	4165
196000	3944	3150	55	3553	4200
197000	3999	3146	72	3662	4248
198000	4033	3176	69	3648	4177
199000	3958	3157	77	3779	4202
200000	3995	3118	72	3795	4139
