cycle	seed62	seed63	seed64	seed65	seed66
1000	147	136	162	159	156
2000	658	197	235	213	218
3000	1849	400	426	353	451
4000	2428	597	642	532	630
5000	2771	751	900	586	683
6000	2716	956	1421	821	925
7000	2770	1068	1886	926	1004
8000	2893	1231	2264	1097	1122
9000	2898	1307	2095	1128	1276
10000	2995	1215	1728	1139	1316
11000	2990	1222	1831	1248	2067
12000	2983	1013	1867	1223	2821
13000	3248	805	1386	1228	2743
14000	3450	785	1114	2004	3093
15000	3590	845	1085	2443	3118
16000	3799	871	1177	2203	3080
17000	3937	965	1115	2804	3183
18000	4199	1108	1087	2930	3147
19000	4293	1159	1073	2667	3091
20000	4148	1140	1024	2949	3078
21000	4200	1159	1095	2959	2992
22000	4247	1163	1179	3100	2995
23000	4111	1146	1166	3053	2810
24000	4088	1200	1152	3084	2700
25000	4121	1306	895	3052	2780
26000	4074	1328	573	3004	2613
27000	3973	1598	389	3022	2507
28000	3775	1747	303	3052	2550
29000	3830	2419	302	2952	2571
30000	3935	3031	349	2890	2564
31000	3826	3131	357	2883	2630
32000	3850	3322	333	2904	2621
33000	3666	3345	347	2867	2534
34000	3689	3501	322	2979	2493
35000	3758	3382	330	2958	2602
36000	3617	3316	315	2906	2598
37000	3569	3380	308	2966	2600
38000	3604	3401	320	2822	2647
39000	3539	3289	298	2889	2656
40000	3559	3111	306	2880	2547
41000	3564	2980	335	2888	2670
42000	3647	2945	331	2888	2639
43000	3509	2748	321	2950	2688
44000	3575	2649	349	2836	2550
45000	3609	2538	336	2860	2703
46000	3565	2503	363	2804	2591
47000	3598	2549	320	2844	2641
48000	3802	2483	373	2730	2629
49000	3746	2432	382	2701	2536
50000	3822	2452	359	2626	2642
51000	3863	2447	403	2569	2562
52000	3851	2437	404	2503	2579
53000	3806	2432	381	2505	2718
54000	3709	2373	400	2562	2677
55000	3767	2435	444	2407	2622
56000	3787	2410	412	2165	2603
57000	3792	2433	455	1863	2622
58000	3758	2489	473	1698	2689
59000	3613	2429	452	1592	2613
60000	3680	2400	447	1491	2648
61000	3622	2450	391	1358	2683
62000	3556	2458	433	1257	2593
63000	3655	2405	423	1243	2573
64000	3533	2438	405	1191	2724
65000	3571	2374	381	1142	2628
66000	3552	2418	363	1147	2747
67000	3494	2490	331	1098	2712
68000	3516	2337	357	1120	2793
69000	3514	2370	329	1046	2574
70000	3414	2409	356	1084	2625
71000	3426	2463	289	1079	2632
72000	3262	2444	267	1022	2692
73000	3341	2492	248	1034	2697
74000	3207	2483	299	1023	2763
75000	3214	2501	254	1011	2632
76000	3006	2453	270	1001	2716
77000	2873	2444	252	1065	2667
78000	2721	2456	230	994	2622
79000	2576	2511	255	995	2652
80000	2494	2433	235	1023	2702
81000	2456	2456	223	1016	2736
82000	2390	2518	222	1000	2622
83000	2430	2450	240	963	2706
84000	2448	2479	282	998	2707
85000	2463	2424	215	959	2708
86000	2467	2515	231	878	2661
87000	2503	2438	258	650	2586
88000	2531	2503	247	434	2727
89000	2503	2420	243	456	2514
90000	2359	2508	249	497	2666
91000	2414	2565	223	572	2664
92000	2440	2433	246	572	2659
93000	2404	2425	270	580	2789
94000	2497	2511	246	606	2688
95000	2766	2396	256	620	2652
96000	3111	2501	225	570	2580
97000	3024	2460	234	609	2697
98000	3032	2504	245	614	2685
99000	2987	2494	222	668	2586
100000	2992	2598	196	679	2673
101000	3002	2470	210	710	2568
102000	2850	2491	216	679	2637
103000	3015	2543	234	734	2716
104000	2826	2447	223	702	2581
105000	2859	2473	221	687	2744
106000	2725	2491	214	691	2616
107000	2769	2560	240	701	2595
108000	2804	2550	233	715	2636
109000	2671	2541	227	732	2646
110000	2749	2519	264	682	2643
111000	2765	2489	220	652	2665
112000	2718	2500	245	665	2695
113000	2854	2488	225	670	2762
114000	2652	2471	258	624	2746
115000	2646	2486	272	643	2710
116000	2618	2538	217	659	2709
117000	2501	2559	254	638	2685
118000	2480	2488	236	619	2641
119000	2496	2526	261	700	2746
120000	2383	2453	257	689	2672
121000	2426	2448	238	712	2707
122000	2332	2548	232	704	2718
123000	2360	2529	227	705	2779
124000	2373	2523	217	711	2707
125000	2426	2530	222	752	2630
126000	2355	2589	214	744	2718
127000	2459	2477	213	771	2722
128000	2455	2494	193	798	2683
129000	2344	2483	201	848	2641
130000	2341	2491	208	812	2677
131000	2386	2576	187	900	2659
132000	2438	2575	223	919	2676
133000	2386	2496	226	852	2630
134000	2403	2511	188	826	2616
135000	2369	2518	173	877	2641
136000	2430	2547	170	861	2607
137000	2401	2529	156	901	2651
138000	2602	2493	185	940	2524
139000	2467	2584	138	931	2525
140000	2494	2506	136	908	2565
141000	2544	2449	139	922	2618
142000	2445	2401	136	937	2556
143000	2512	2474	140	939	2495
144000	2400	2510	117	938	2543
145000	2480	2509	99	938	2624
146000	2430	2477	125	913	2484
147000	2485	2616	104	878	2520
148000	2342	2516	126	1012	2515
149000	2477	2459	101	913	2506
150000	2475	2448	99	926	2464
151000	2441	2512	89	923	2499
152000	2460	2493	88	984	2512
153000	2574	2480	94	905	2600
154000	2744	2433	110	966	2562
155000	2872	2473	82	914	2496
156000	2839	2490	76	910	2459
157000	2618	2497	94	938	2440
158000	2861	2454	84	935	2445
159000	2839	2555	72	938	2409
160000	2749	2515	82	922	2394
161000	2769	2468	74	964	2350
162000	2807	2407	66	930	2441
163000	2760	2528	69	918	2406
164000	2764	2554	55	957	2473
165000	2766	2509	57	931	2379
166000	2734	2469	64	876	2401
167000	2802	2471	58	914	2466
168000	2666	2514	66	884	2457
169000	2754	2478	47	884	2383
170000	2592	2561	66	902	2524
171000	2614	2500	53	939	2424
172000	2538	2517	59	896	2474
173000	2441	2574	67	929	2454
174000	2552	2547	64	900	2401
175000	2568	2536	59	891	2494
176000	2437	2573	55	913	2444
177000	2478	2550	53	914	2451
178000	2479	2527	58	849	2448
179000	2648	2451	72	935	2501
180000	2548	2540	58	914	2430
181000	2476	2521	64	1000	2461
182000	2451	2475	60	951	2561
183000	2391	2588	82	901	2366
184000	2207	2577	53	921	2272
185000	2250	2469	66	926	2514
186000	2236	2525	61	1031	2504
187000	2288	2466	70	952	2580
188000	2173	2532	51	989	2463
189000	2149	2457	68	924	2498
190000	2188	2454	74	869	2400
191000	2202	2582	49	929	2387
192000	2084	2487	55	965	2412
193000	1997	2532	61	891	2466
194000	2023	2498	66	923	2341
195000	2081	2618	68	915	2414
196000	1999	2504	46	945	2377
197000	2058	2493	64	934	2381
198000	2107	2545	58	918	2408
199000	2057	2482	60	941	2300
200000	2032	2502	54	877	2362
