cycle	seed62	seed63	seed64	seed65	seed66
1000	4	2	3	3	4
2000	17	7	9	8	10
3000	16	13	12	13	16
4000	16	10	19	13	13
5000	13	7	15	9	7
6000	9	10	20	6	9
7000	14	6	26	8	8
8000	11	6	24	9	6
9000	13	5	24	7	8
10000	11	5	23	7	9
11000	12	6	20	9	13
12000	9	5	20	10	10
13000	8	5	17	12	7
14000	12	3	15	14	7
15000	15	2	12	14	6
16000	14	4	9	9	6
17000	11	4	11	9	5
18000	10	3	12	9	7
19000	13	4	10	9	9
20000	8	5	12	10	7
21000	7	5	9	10	10
22000	8	4	10	8	9
23000	6	6	9	11	8
24000	7	8	10	8	8
25000	9	8	11	11	7
26000	8	8	8	11	8
27000	6	8	8	7	7
28000	10	10	5	9	4
29000	8	13	7	8	4
30000	8	14	6	9	8
31000	5	10	7	6	6
32000	8	11	6	10	8
33000	6	7	5	6	5
34000	8	10	5	8	7
35000	5	7	6	8	6
36000	6	9	8	8	6
37000	6	11	6	7	6
38000	7	8	5	8	7
39000	9	9	5	9	4
40000	6	7	5	8	4
41000	5	10	6	7	4
42000	10	8	6	8	6
43000	9	7	7	7	7
44000	11	6	7	9	8
45000	10	6	4	8	6
46000	13	6	6	9	4
47000	8	7	6	9	6
48000	7	6	7	9	6
49000	6	6	7	12	6
50000	5	5	6	9	5
51000	6	5	5	8	4
52000	6	7	5	9	8
53000	6	6	6	7	6
54000	7	7	7	7	7
55000	8	6	6	8	6
56000	8	6	7	8	6
57000	8	5	5	7	7
58000	6	5	7	7	7
59000	8	6	6	10	7
60000	10	6	6	7	6
61000	11	8	5	6	6
62000	10	7	5	7	6
63000	8	5	6	7	6
64000	6	6	7	9	6
65000	10	6	6	8	7
66000	10	6	5	7	6
67000	9	5	7	7	7
68000	8	5	6	5	8
69000	7	7	4	6	7
70000	5	6	7	7	8
71000	7	5	5	6	7
72000	8	5	5	6	8
73000	8	7	6	8	7
74000	6	7	5	8	7
75000	6	6	5	8	6
76000	7	6	4	7	5
77000	8	6	5	6	7
78000	7	6	4	5	6
79000	6	6	2	5	7
80000	9	8	3	9	5
81000	7	7	3	5	6
82000	5	6	4	6	7
83000	7	7	3	6	6
84000	5	5	5	5	6
85000	7	5	3	7	7
86000	5	5	3	8	7
87000	6	6	4	4	7
88000	5	7	6	7	6
89000	5	5	5	7	5
90000	6	5	5	9	6
91000	7	7	4	6	6
92000	5	7	5	6	8
93000	5	5	3	7	5
94000	6	6	3	7	7
95000	6	6	5	6	6
96000	8	5	3	5	5
97000	6	7	3	8	6
98000	5	7	7	6	7
99000	8	5	4	4	6
100000	6	7	2	5	6
101000	7	8	3	6	7
102000	6	7	4	5	6
103000	8	6	4	6	6
104000	9	5	2	5	6
105000	6	5	4	6	7
106000	8	6	4	6	7
107000	9	6	3	5	6
108000	10	7	6	6	7
109000	8	6	5	6	7
110000	9	7	3	7	6
111000	5	6	5	6	6
112000	7	8	2	3	5
113000	6	7	3	7	7
114000	5	6	2	5	6
115000	7	6	4	6	6
116000	7	5	3	4	6
117000	7	7	2	6	5
118000	6	6	4	5	5
119000	5	7	2	7	6
120000	6	5	6	6	6
121000	6	7	4	4	7
122000	6	5	2	4	8
123000	9	6	6	3	7
124000	8	5	2	8	7
125000	4	6	2	6	7
126000	6	5	4	4	7
127000	9	6	3	9	6
128000	6	6	3	6	7
129000	7	6	2	5	7
130000	8	6	3	4	8
131000	9	6	2	6	8
132000	9	7	2	5	6
133000	7	6	4	4	6
134000	7	5	3	6	7
135000	5	6	3	5	8
136000	8	9	4	7	7
137000	8	5	4	7	8
138000	7	7	4	5	7
139000	5	5	4	6	6
140000	7	5	4	5	8
141000	10	7	3	6	8
142000	5	6	2	4	11
143000	9	7	6	5	10
144000	6	5	3	4	8
145000	6	7	2	7	6
146000	8	6	4	4	7
147000	6	7	4	7	9
148000	6	7	3	6	10
149000	6	7	3	3	7
150000	10	5	3	6	5
151000	8	6	3	5	8
152000	7	6	2	4	7
153000	9	5	3	4	6
154000	6	6	3	7	7
155000	5	6	5	5	8
156000	5	7	4	4	7
157000	7	5	5	6	7
158000	4	6	2	5	9
159000	5	8	2	7	7
160000	5	8	2	5	7
161000	6	6	2	8	9
162000	6	5	4	5	8
163000	6	6	1	7	8
164000	3	7	2	6	7
165000	7	6	2	3	6
166000	8	6	3	5	6
167000	6	7	3	5	6
168000	6	6	2	5	7
169000	8	8	2	6	7
170000	8	6	4	4	8
171000	4	6	2	3	6
172000	6	5	3	5	7
173000	7	6	2	6	8
174000	5	5	3	5	6
175000	7	6	3	5	7
176000	7	6	2	5	8
177000	6	6	3	3	9
178000	8	5	1	4	9
179000	7	6	2	4	8
180000	5	5	3	4	8
181000	5	6	3	5	7
182000	7	5	2	4	7
183000	6	5	2	3	9
184000	8	6	3	4	5
185000	6	7	3	3	7
186000	8	6	3	5	8
187000	6	5	2	5	6
188000	8	6	3	6	8
189000	7	6	3	5	7
190000	8	5	3	8	10
191000	8	5	3	5	7
192000	8	5	2	5	9
193000	6	6	3	4	9
194000	8	6	2	7	7
195000	8	5	3	7	8
196000	8	5	4	5	6
197000	6	5	2	4	9
198000	5	5	3	6	9
199000	8	6	2	4	7
200000	6	5	3	2	6
