cycle	seed62	seed63	seed64	seed65	seed66
1000	1.49399	1.52236	1.54452	1.56926	1.54602
2000	1.53806	1.58918	1.54169	1.53799	1.55101
3000	1.60398	1.57928	1.55606	1.58725	1.54696
4000	1.66628	1.55786	1.55683	1.54365	1.58771
5000	1.70936	1.60317	1.63204	1.53912	1.61237
6000	1.67888	1.625	1.64269	1.53283	1.58167
7000	1.72827	1.56662	1.76753	1.56352	1.63939
8000	1.79219	1.61696	1.92493	1.54326	1.58208
9000	1.70981	1.65411	1.90326	1.63696	1.61894
10000	1.72512	1.61716	2.09922	1.64493	1.63625
11000	1.77433	1.60489	2.10341	1.61996	1.72402
12000	1.73086	1.64218	2.0601	1.60883	1.72915
13000	1.78717	1.63174	1.94522	1.69721	1.75049
14000	1.7781	1.60854	1.9142	1.66465	1.7376
15000	1.84041	1.64092	1.93168	1.76894	1.753
16000	1.88876	1.6497	2.00713	1.68209	1.76072
17000	1.81284	1.65201	1.97848	1.71128	1.74106
18000	1.81002	1.67664	2.01285	1.68432	1.79601
19000	1.76014	1.68576	1.94204	1.7036	1.72921
20000	1.7564	1.67003	2.09778	1.67691	1.69989
21000	1.76877	1.65303	2.01276	1.74769	1.70367
22000	1.72264	1.69047	1.97597	1.73395	1.65219
23000	1.72835	1.6379	2.04484	1.70154	1.66316
24000	1.65573	1.62446	2.02743	1.72174	1.59728
25000	1.69062	1.60588	2.04714	1.7347	1.62988
26000	1.64989	1.63552	2.08711	1.70238	1.57945
27000	1.59768	1.6459	2.14128	1.72391	1.59574
28000	1.58631	1.71394	2.17537	1.70739	1.6185
29000	1.59185	1.71393	2.15824	1.70623	1.59
30000	1.61862	1.72039	2.154	1.69955	1.64459
31000	1.57914	1.72209	2.06354	1.72866	1.59187
32000	1.58306	1.74071	2.14064	1.6955	1.61151
33000	1.55849	1.80495	2.15352	1.67077	1.57269
34000	1.6041	1.78997	2.14045	1.7196	1.60908
35000	1.57069	1.77804	2.11631	1.69618	1.65134
36000	1.59901	1.79349	2.1071	1.69033	1.60642
37000	1.54665	1.79844	2.11511	1.72348	1.60387
38000	1.56763	1.85332	2.15865	1.72091	1.6166
39000	1.56057	1.79252	2.11787	1.68405	1.63091
40000	1.57781	1.82638	2.09642	1.70806	1.63974
41000	1.57558	1.77049	2.10682	1.68237	1.63929
42000	1.57883	1.82798	2.13735	1.7502	1.6543
43000	1.57385	1.84152	2.15871	1.74705	1.58012
44000	1.60727	1.79766	2.17074	1.70542	1.59148
45000	1.59969	1.79553	2.12996	1.71687	1.57003
46000	1.59043	1.77164	2.14125	1.73777	1.65535
47000	1.5967	1.79362	2.12451	1.70813	1.58801
48000	1.59068	1.83473	2.16905	1.70319	1.57879
49000	1.61039	1.80688	2.20713	1.74337	1.62744
50000	1.58731	1.76305	2.21738	1.74931	1.6583
51000	1.61908	1.78626	2.17687	1.74677	1.61323
52000	1.57793	1.79961	2.15942	1.691	1.62926
53000	1.61031	1.83458	2.1931	1.75167	1.61242
54000	1.61069	1.8151	2.18576	1.7414	1.65282
55000	1.6062	1.83298	2.22592	1.75942	1.62158
56000	1.58194	1.81308	2.18472	1.80928	1.62787
57000	1.61278	1.80351	2.20206	1.8786	1.61756
58000	1.59267	1.80061	2.22927	1.85012	1.65346
59000	1.68517	1.80026	2.20072	1.87371	1.59813
60000	1.67987	1.77706	2.22769	1.85543	1.61161
61000	1.68858	1.79196	2.2784	1.92022	1.62991
62000	1.70098	1.77292	2.18638	1.91227	1.62283
63000	1.69457	1.76081	2.23093	1.92428	1.64614
64000	1.70907	1.80167	2.28645	1.89883	1.57386
65000	1.70541	1.82239	2.28764	1.92395	1.66491
66000	1.75245	1.76149	2.30612	1.91262	1.57077
67000	1.74385	1.78822	2.24278	1.88821	1.61092
68000	1.74105	1.81972	2.25229	1.9767	1.61122
69000	1.74866	1.78898	2.2354	1.92878	1.62362
