cycle	seed62	seed63	seed64	seed65	seed66
1000	13.6773	13.6374	13.636	13.6209	13.6311
2000	13.6687	13.6507	13.6569	13.662	13.6521
3000	13.7197	13.6381	13.6559	13.6435	13.6364
4000	13.7226	13.6704	13.6809	13.6797	13.6554
5000	13.7285	13.6586	13.6842	13.6913	13.6605
6000	13.7392	13.6546	13.7122	13.6953	13.6756
7000	13.7215	13.6601	13.7294	13.6919	13.6572
8000	13.7288	13.6166	13.7032	13.7134	13.6778
9000	13.7415	13.6154	13.7	13.6668	13.673
10000	13.735	13.6572	13.6807	13.6799	13.6982
11000	13.7151	13.6691	13.657	13.6841	13.7173
12000	13.7293	13.6721	13.5444	13.7115	13.7295
13000	13.7342	13.6991	13.324	13.6891	13.7204
14000	13.7429	13.7066	13.0138	13.7073	13.7138
15000	13.7357	13.7008	12.8047	13.6948	13.7221
16000	13.7068	13.7169	12.738	13.7327	13.7182
17000	13.7494	13.7119	12.7428	13.731	13.7276
18000	13.7306	13.6928	12.7436	13.7452	13.7093
19000	13.7457	13.6976	12.7541	13.7448	13.7313
20000	13.7431	13.7026	12.7295	13.7479	13.7333
21000	13.7281	13.7283	12.7525	13.7328	13.7409
22000	13.7404	13.7155	12.7426	13.7411	13.7564
23000	13.7311	13.7359	12.7352	13.762	13.742
24000	13.7556	13.7415	12.7434	13.7485	13.7547
25000	13.7485	13.7372	12.7443	13.7408	13.7373
26000	13.7467	13.7502	12.7382	13.7429	13.7594
27000	13.7636	13.7909	12.7279	13.7355	13.7565
28000	13.7549	13.9691	12.7226	13.7305	13.7457
29000	13.7512	14.3007	12.7283	13.7373	13.7555
30000	13.7431	14.6072	12.7157	13.7426	13.7412
31000	13.7579	14.6801	12.7408	13.7321	13.7637
32000	13.7546	14.7151	12.7309	13.7576	13.7481
33000	13.7593	14.6797	12.7175	13.7474	13.7598
34000	13.7411	14.7049	12.7235	13.7317	13.7541
35000	13.7569	14.7018	12.7206	13.7269	13.7427
36000	13.7464	14.7032	12.7365	13.7504	13.7449
37000	13.7589	14.7141	12.7259	13.7359	13.7548
38000	13.7694	14.6914	12.723	13.7301	13.7503
39000	13.7535	14.7142	12.7312	13.7425	13.7536
40000	13.7586	14.7006	12.7481	13.7455	13.7298
41000	13.7661	14.7166	12.733	13.7496	13.7431
42000	13.7544	14.6949	12.7431	13.7269	13.7256
43000	13.7617	14.7022	12.7442	13.7303	13.7468
44000	13.7562	14.7088	12.7353	13.7359	13.7559
45000	13.7486	14.7091	12.7511	13.7411	13.7577
46000	13.7625	14.6971	12.7336	13.7286	13.7431
47000	13.7583	14.7208	12.7421	13.7407	13.7554
48000	13.7434	14.6912	12.7401	13.7367	13.7594
49000	13.7403	14.7119	12.7277	13.7356	13.7585
50000	13.7475	14.7073	12.731	13.7218	13.7296
51000	13.7464	14.7141	12.7478	13.7364	13.7469
52000	13.748	14.7062	12.7486	13.7572	13.7516
53000	13.7528	14.7022	12.7395	13.7456	13.7627
54000	13.7508	14.7121	12.7261	13.7612	13.7468
55000	13.7505	14.6975	12.728	13.7679	13.7442
56000	13.7699	14.6985	12.7324	13.7635	13.7429
57000	13.7482	14.7101	12.7432	13.7305	13.7548
58000	13.7627	14.71	12.7342	13.7506	13.742
59000	13.7387	14.7305	12.7409	13.7372	13.7584
60000	13.747	14.732	12.744	13.7374	13.7429
61000	13.7459	14.7143	12.7205	13.7131	13.7458
62000	13.7457	14.7138	12.7452	13.7081	13.7411
63000	13.7636	14.7109	12.7441	13.7106	13.738
64000	13.7544	14.6976	12.7268	13.7241	13.7627
65000	13.765	14.7006	12.734	13.717	13.7299
66000	13.7321	14.7254	12.7309	13.7144	13.7605
67000	13.7526	14.7122	12.7351	13.7241	13.7587
68000	13.7604	14.6858	12.7353	13.6984	13.7406
69000	13.7518	14.713	12.7463	13.7294	13.7411
70000	13.7463	14.7115	12.758	13.7139	13.7421
71000	13.7604	14.7053	12.7539	13.7097	13.7573
72000	13.7625	14.7118	12.7823	13.7316	13.7491
73000	13.749	14.6957	12.7607	13.7085	13.7489
74000	13.7657	14.6992	12.7707	13.7306	13.7424
75000	13.7492	14.7299	12.7537	13.7403	13.7201
76000	13.7582	14.7128	12.7734	13.7392	13.7371
77000	13.7702	14.6981	12.7698	13.7347	13.751
78000	13.771	14.7007	12.7931	13.7153	13.7692
79000	13.7494	14.709	12.794	13.7389	13.7733
80000	13.7702	14.7087	12.7865	13.7346	13.7556
81000	13.773	14.7127	12.7973	13.7208	13.7599
82000	13.753	14.7111	12.7784	13.7294	13.7723
83000	13.7601	14.6961	12.7992	13.721	13.7745
84000	13.7662	14.7133	12.7788	13.7255	13.7575
85000	13.7604	14.6979	12.783	13.7313	13.7692
86000	13.7704	14.7261	12.7854	13.7302	13.7562
87000	13.7475	14.7014	12.7785	13.7275	13.7474
88000	13.7563	14.7134	12.7731	13.7498	13.746
89000	13.7513	14.7172	12.7838	13.7508	13.7323
90000	13.7691	14.7354	12.7689	13.727	13.7295
91000	13.7372	14.7239	12.7832	13.7275	13.7575
92000	13.7675	14.7315	12.7904	13.7397	13.7317
93000	13.7519	14.7122	12.79	13.7415	13.7528
94000	13.7748	14.7162	12.7891	13.7466	13.7474
95000	13.7608	14.7106	12.7761	13.7236	13.7506
96000	13.7445	14.7181	12.794	13.7236	13.7434
97000	13.7678	14.7194	12.7718	13.726	13.7686
98000	13.7631	14.6957	12.7747	13.7195	13.7532
99000	13.7569	14.7185	12.7843	13.7278	13.7378
100000	13.767	14.7115	12.7869	13.7266	13.7464
