cycle	seed62	seed63	seed64	seed65	seed66
1000	13.4221	13.3728	13.3679	13.3556	13.3457
2000	13.058	13.333	13.2972	13.3189	13.2638
3000	12.0496	13.2046	13.2032	13.1953	13.1283
4000	11.6215	13.1366	13.1521	13.1075	13.0478
5000	11.3666	13.0017	13.019	13.0021	12.9667
6000	11.238	12.8975	12.8247	12.858	12.8804
7000	11.1545	12.8186	12.5768	12.8088	12.7773
8000	11.0569	12.6991	11.9661	12.7574	12.7194
9000	10.9602	12.6767	10.7416	12.6604	12.6354
10000	10.8692	12.6669	8.66862	12.6404	12.1464
11000	10.7476	12.6232	6.92864	12.5502	11.5441
12000	10.5513	12.573	7.70589	12.4896	11.3027
13000	10.4142	12.5727	9.88413	12.3637	11.2441
14000	10.3528	12.5535	11.3097	12.1666	11.2012
15000	10.3292	12.5399	11.2979	12.0078	11.1776
16000	10.2873	12.5366	11.2168	11.8227	11.1236
17000	10.2954	12.5311	11.1711	11.6119	11.1295
18000	10.2446	12.5142	11.1698	11.4201	11.064
19000	10.1606	12.5317	11.1256	11.2888	11.0253
20000	10.0447	12.5255	11.1281	11.2287	10.9143
21000	9.93139	12.5408	11.1751	11.0906	10.8661
22000	9.84987	12.5483	11.0827	10.9793	10.8241
23000	9.77432	12.5585	10.9962	10.9302	10.754
24000	9.69295	12.5497	10.7672	10.8273	10.7875
25000	9.54943	12.5551	10.4609	10.7374	10.8402
26000	9.45639	12.5712	10.1971	10.6556	10.9385
27000	9.44465	12.5394	10.0865	10.5736	10.9629
28000	9.38612	12.4625	10.1432	10.5139	10.9375
29000	9.33545	12.3008	10.1551	10.4215	10.9926
30000	9.30629	12.073	10.1306	10.3817	10.9722
31000	9.26742	11.8634	10.2203	10.3553	10.9488
32000	9.22282	11.7592	10.1911	10.327	10.9965
33000	9.09495	11.6461	10.1089	10.3767	11.0152
34000	9.06222	11.6285	10.1683	10.3905	10.9754
35000	9.02998	11.5876	10.1476	10.3419	10.9433
36000	9.01663	11.5593	10.069	10.3519	10.9782
37000	8.96334	11.5136	10.0544	10.368	10.9856
38000	8.89781	11.4591	10.0731	10.3109	10.905
39000	8.84818	11.4193	10.0527	10.3663	10.95
40000	8.81168	11.4173	9.97881	10.3697	10.8568
41000	8.77549	11.4995	9.90578	10.348	10.9006
42000	8.78145	11.4571	9.87622	10.3551	10.9283
43000	8.75735	11.4782	9.77332	10.3268	10.9332
44000	8.73136	11.4509	9.73482	10.3053	10.9313
45000	8.8357	11.5088	9.65498	10.2665	10.9275
46000	9.02272	11.5305	9.60456	10.2142	10.9169
47000	9.4499	11.4939	9.66273	10.2108	10.9029
48000	9.92198	11.4559	9.63635	10.1922	10.9202
49000	9.98331	11.4512	9.51619	10.1497	10.9113
50000	10.0164	11.5118	9.46025	10.1188	10.8554
51000	10.0259	11.4491	9.4724	10.0655	10.8425
52000	9.99863	11.3911	9.44048	10.1433	10.8674
53000	10.0055	11.4464	9.42323	10.22	10.8368
54000	9.97084	11.4504	9.42111	10.1585	10.8869
55000	9.9521	11.382	9.42083	9.96459	10.9396
56000	9.91025	11.3789	9.36733	9.68465	10.9324
57000	9.85685	11.3982	9.32453	9.41091	10.9325
58000	9.85326	11.3933	9.31511	9.252	10.927
59000	9.69287	11.3705	9.30415	9.19535	10.9255
60000	9.5858	11.3969	9.28678	9.16564	10.9324
61000	9.52187	11.416	9.24933	9.16714	10.9296
62000	9.46524	11.4281	9.25168	9.08589	10.9293
63000	9.40712	11.4143	9.27351	9.10995	10.9392
64000	9.33153	11.451	9.19752	9.08959	10.9813
65000	9.36454	11.4631	9.13538	9.07698	10.9956
66000	9.36753	11.4945	9.10522	9.06291	10.9584
67000	9.30761	11.4599	9.11762	9.04497	10.9449
68000	9.27338	11.4448	9.07412	9.00853	10.9346
69000	9.20612	11.4508	9.04488	8.99114	10.9458
70000	9.08166	11.4472	9.08275	8.94357	10.9401
71000	9.16991	11.4974	9.02326	8.98134	10.8952
72000	9.09929	11.5025	9.02334	8.99159	10.9091
73000	9.19614	11.446	9.04125	8.93352	10.9313
74000	9.16123	11.4632	9.10993	8.8745	10.9206
75000	9.10324	11.4748	9.01916	8.89264	10.8892
76000	9.10726	11.4468	9.0695	8.87851	10.8823
77000	9.0342	11.4642	9.07361	8.87202	10.8611
78000	9.01368	11.4566	9.11696	8.85624	10.8691
79000	8.98379	11.4636	9.05239	8.86061	10.9226
80000	8.94638	11.4218	9.02352	8.91387	10.9027
81000	8.99875	11.4963	9.08284	8.89942	10.9559
82000	8.99177	11.475	9.02295	8.88331	10.9849
83000	9.07022	11.3869	9.04593	8.87153	10.9849
