cycle	seed62	seed63	seed64	seed65	seed66
1000	2.83089	2.83647	2.83022	2.83329	2.83452
2000	2.83652	2.82764	2.8324	2.83472	2.83602
3000	2.85593	2.83859	2.83356	2.84094	2.84071
4000	2.86175	2.838	2.83838	2.83665	2.8412
5000	2.85104	2.83502	2.83581	2.84088	2.84353
6000	2.84495	2.83748	2.84382	2.84945	2.84174
7000	2.83871	2.84558	2.84342	2.85371	2.84336
8000	2.8378	2.84643	2.8523	2.84647	2.84132
9000	2.8518	2.85121	2.86085	2.84999	2.84692
10000	2.85731	2.84701	2.85861	2.84744	2.87227
11000	2.86931	2.83991	2.86209	2.85372	2.90397
12000	2.8639	2.8312	2.88282	2.85293	2.92062
13000	2.85032	2.82828	2.94791	2.85239	2.91758
14000	2.82787	2.82291	3.04679	2.84834	2.91978
15000	2.79842	2.82313	3.11344	2.86857	2.92032
16000	2.79623	2.82601	3.12903	2.87363	2.92022
17000	2.79535	2.82302	3.14347	2.87966	2.9167
18000	2.811	2.82247	3.15179	2.89187	2.92342
19000	2.83521	2.82248	3.16051	2.90407	2.94224
20000	2.86382	2.82633	3.16906	2.90869	2.97715
21000	2.88862	2.82848	3.16492	2.92992	3.00299
22000	2.91321	2.8241	3.15788	2.94954	3.03371
23000	2.93159	2.82614	3.1519	2.97161	3.06175
24000	2.94974	2.82275	3.13785	2.99206	3.07999
25000	2.97216	2.82509	3.13506	3.01804	3.09243
26000	2.9943	2.82195	3.1282	3.04427	3.10748
27000	3.01728	2.83662	3.13073	3.06222	3.11183
28000	3.03596	2.86308	3.12535	3.08398	3.10736
29000	3.0398	2.91187	3.12462	3.0896	3.11072
30000	3.04973	2.95381	3.12832	3.10038	3.1086
31000	3.06654	2.96625	3.12751	3.09896	3.11207
32000	3.07102	2.95158	3.12886	3.10489	3.1131
33000	3.0824	2.94958	3.13577	3.11231	3.11533
34000	3.07833	2.93923	3.12913	3.10698	3.11417
35000	3.08645	2.94123	3.13094	3.11258	3.1181
36000	3.08751	2.93573	3.1295	3.11349	3.12152
37000	3.09357	2.92924	3.131	3.11224	3.11248
38000	3.09275	2.92686	3.13026	3.11209	3.11195
39000	3.10177	2.92609	3.12537	3.11332	3.11255
40000	3.10125	2.92641	3.1275	3.11112	3.11883
41000	3.10137	2.92179	3.1272	3.11165	3.11931
42000	3.10329	2.92682	3.12698	3.11364	3.12152
43000	3.10456	2.92211	3.12952	3.11237	3.11474
44000	3.10206	2.92411	3.1221	3.11711	3.1194
45000	3.09358	2.92444	3.13046	3.11341	3.12311
46000	3.0728	2.93245	3.13467	3.11133	3.11682
47000	3.03104	2.92647	3.13556	3.11638	3.11617
48000	2.98921	2.93067	3.13157	3.11701	3.11893
49000	2.97232	2.93672	3.13141	3.11512	3.11152
50000	2.97261	2.94292	3.13298	3.12086	3.11395
51000	2.97004	2.94156	3.13012	3.12042	3.1178
52000	2.97293	2.9455	3.13642	3.14297	3.11177
53000	2.95899	2.94787	3.13513	3.18238	3.11406
54000	2.96056	2.95313	3.13867	3.2207	3.11056
55000	2.96546	2.94971	3.13477	3.23972	3.11225
56000	2.96165	2.953	3.13725	3.251	3.11259
57000	2.96566	2.9529	3.13255	3.26512	3.11228
58000	2.95628	2.95662	3.12934	3.27816	3.11177
59000	2.95765	2.9503	3.13079	3.29575	3.11348
60000	2.95989	2.95426	3.1333	3.28959	3.11556
61000	2.95569	2.95565	3.13688	3.30424	3.11006
62000	2.95043	2.95434	3.13144	3.30845	3.11248
63000	2.95184	2.96392	3.13425	3.29462	3.11468
64000	2.95195	2.96288	3.1427	3.32298	3.11428
65000	2.95468	2.9579	3.14359	3.33064	3.11137
66000	2.95575	2.96008	3.14596	3.32296	3.11708
67000	2.95377	2.95669	3.1482	3.32052	3.11256
68000	2.95652	2.96475	3.15109	3.3229	3.1181
69000	2.9518	2.96127	3.14366	3.31092	3.11334
70000	2.95075	2.96199	3.1401	3.32436	3.11285
71000	2.95284	2.9572	3.14249	3.33356	3.11433
72000	2.95904	2.95808	3.14206	3.30324	3.11165
73000	2.96122	2.95814	3.14571	3.32564	3.11407
74000	2.96746	2.96055	3.14554	3.3022	3.11513
75000	2.966	2.9654	3.14416	3.31133	3.1114
76000	2.96524	2.9704	3.14231	3.30578	3.11542
77000	2.96114	2.9695	3.13874	3.30755	3.11441
78000	2.95704	2.97365	3.13572	3.32244	3.11939
79000	2.95755	2.97947	3.13357	3.30734	3.11246
80000	2.95786	2.98019	3.13169	3.32565	3.11354
